city_name,state_name
Adelaide,South Australia
Albury,New South Wales
Queanbeyan,New South Wales
Melbourne,Victoria
Ballarat,Victoria
Sydney,New South Wales
Whyalla,South Australia
Mount Gambier,South Australia
Hobart,Tasmania
New Norfolk,Tasmania
Brisbane,Queensland
Coffs Harbour,New South Wales
Cairns,Queensland
Port Lincoln,South Australia
Nuriootpa,South Australia
Albany,Western Australia
Stawell,Victoria
Colac,Victoria
Perth,Western Australia
Shepparton,Victoria
Devonport,Tasmania
Penguin,Tasmania
Victor Harbor,South Australia
Griffith,New South Wales
Gold Coast,Queensland
Geelong,Victoria
Toowoomba,Queensland
Mackay,Queensland
Canberra,ACT
Bunbury,Western Australia
Shanghai,International
Kadina,South Australia
Glenorchy,Tasmania
Kingston,Tasmania
Mandurah,Western Australia
Latrobe,Tasmania
Sunshine Coast,Queensland
Port Pirie,South Australia
Mildura,Victoria
Burpengary,Queensland
Morwell,Victoria
Narrandera,New South Wales
Newcastle,New South Wales
Wangaratta,Victoria
Wollongong,New South Wales
Launceston,Tasmania
Lismore,New South Wales
Bendigo,Victoria
Renmark,South Australia
Townsville,Queensland
Wagga Wagga,New South Wales
Wellington,New Zealand
Mount Barker,Western Australia
Strathalbyn,South Australia
Moe,Victoria
Darwin,Northern Territory
Alice Springs,Northern Territory
Ulverstone,Tasmania
Burnie,Tasmania
Yea,Victoria
